leader,vote,name,Sc,Sc_p,R-Sc,R-Sc_p,slots,Sc_p_lb,Sc_p_ub,Sc_p_flag,Sc_lb,Sc_ub,Sc_flag
8ZvC5d39VKnz4UUJV928s76Mv7FdSbX5WwHCuCFAanj3,5WPxGiB6zBXNJp8JN3WhSKDuTY3ZBX6dBDcbtVMQAJLX,EliteStaking.vip 💜,0.904243119266055,0.388379204892966,394.25,169.333333333333,436,0.302770653112258,0.48147804089626,true,-0.0133232995931119,0.0874681408629532,true
7bLCyBuFdPFYbBuztRvqrX9e13Dt6mfpoxdnMDhXvZaV,9fgw3MScN9xDUTLZJaiqTBF9BmoASJGWmJCdUKSjzsXs,,0.736372180451128,0.384868421052632,391.75,204.75,532,0.307061222186212,0.469045921001584,true,-0.00855028998111329,0.0826951312509546,true
2XQgZciomz7MoPNUz5YsrPkPsGg43JHaY5EDgQi1S68E,HnkhL3JYBSmb3s9thcVWzAQA9NqJb5m9U2d7mdDxprGo,Penguin 🐧 MEV rewards,0.837734741784038,0.368544600938967,237.916666666667,104.666666666667,284,0.266475882870024,0.483916946354642,true,-0.0253697124960247,0.099514553765866,true
F9Sq9BxVPCBG4UMU1XAF8JBSeKhyWQdLv2PPizy1xQZx,8RaPWvLNqanZCvrQLsou1hmSj3srN7H6ds8AR9LwiqNa,enderSOL Validator,0.806027508090615,0.367313915857605,332.083333333333,151.333333333333,412,0.28114458787969,0.462887400016711,true,-0.0147703606721218,0.088915201941963,true
4o2TxN5RNxjiLvEbK56ZyaZ1bg3ZTgaTLpPRqi8vEkRS,8guXF5HQVU4g71ZCnn6aEJxQyb59NaEc4XCGjF5arsiH,BLOCKPRIME 💠,0.776234567901235,0.362847222222222,335.333333333333,156.75,432,0.278901861963817,0.456078517381362,true,-0.0135560755210772,0.0877009167909185,true
4ZUdaCPz4t1gJK6bFN2YdG6BDfxZ3ApvGMiQUmKPPtny,7XTz9RDt9gbckonUUYvzQ8q3Pfdo36oiQsreXsHhNFzj,Spear | best rewards!,0.741272522522523,0.35914039039039,658.25,318.916666666667,888,0.299347656032733,0.423654780676005,true,0.00175976184720895,0.0723850794226323,true
CKwRED4NttAKmB4D2aos4uQqXqH1QehRoZLdRkyjLdGm,Ha5QeKj9o3u1116qohTcSqEhPRJgUUKSLxS1n5Phgq85,Gigaward 🏆 ,0.680555555555556,0.357519157088123,236.833333333333,124.416666666667,348,0.265428252470882,0.461488180818928,true,-0.0193364336555809,0.0934812749254222,true
CZLU7uNs1SNvmV1vodR29hwJFjQ2eVUXsQJwGt2SKVKk,5ni6KoVM62cRJNfFFKGdiyDfYbKWWAGZ21cfGZcj1y66,Custodian 💼 0% fees +MEV!,0.708227580372251,0.355964467005076,558.083333333333,280.5,788,0.292890718563973,0.424467486430588,true,-0.000413984297413475,0.0745588255672547,true
Bnqie7FYWudbSuBjyRHzoKQrz7eGFxmY9wFAMQKKQjEe,6xwWwNVXJLGhgPfBpew7UDcSjQr73McXSRK2EhdhcL1u,Paradigm 🧿,0.702988215488215,0.352020202020202,1391.91666666667,697,1980,0.311527696467868,0.394758094142433,true,0.0134238821537626,0.0607209591160787,true
8bDP7mZsx6Z1pZbRoMtzj5AXaqoyBLqEfgAi157AnKJX,P4f3F3VfMhKvpGQXg2MuvLfWmZui41gvcH9XKtYDiFX,deadnode,0.780637254901961,0.350626361655773,477.75,214.583333333333,612,0.280012320187868,0.428451031088515,true,-0.00546402427599882,0.0796088655458401,true
b8ThsbsARWyjqWrBdU9JNFhXg8ZAjDaJtaqXXzy1sRS,CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc,MARGUS.ONE 💎 0% fee +MEV!,0.682213930348259,0.346859452736318,731.333333333333,371.833333333333,1072,0.292787799998588,0.405195598266954,true,0.00493289161388837,0.0692119496559529,true
71M936kzQRe7eWrABba6yKqPsmTMVhijQqDNQP9qM9pP,DM8eVQwKYpFUq4MAC1XEeZMjV4T34LfvGkK9vca55GaY,SpaceCat.ws 🚀 0% + MEV,0.688287514318442,0.346363115693013,801.166666666667,403.166666666667,1164,0.294389507834795,0.402281230103151,true,0.00622915098383589,0.0679156902860054,true
6dwKX2BK1JowEVXvKemcfw2arNeTe6RHYrs4FomxSVPw,BT8LZUvQVwFHRGw2Dwv7UeqDUq7btfjegLpuz5bwgziD,private,0.650569612286002,0.345087487411883,6890.83333333333,3655.16666666667,10592,0.327348576530139,0.363268527985008,true,0.0268477832477012,0.0472970580221401,true
1znL3zFHi3znoaz6T6rnnEnRj8Ar3fohDq7ZNk37sUL,A1taSaBJrLMrqfWsPESYDujnZv5yD7bF35LjXoyNXhzN,AltaBlock,0.683779761904762,0.34457671957672,1378.5,694.666666666667,2016,0.304693505065312,0.386776465885386,true,0.0136359809536806,0.0605088603161607,true
CbyfiyQAy9pyWKrAv3KViqHgcDPQ9ECmYx3eaQoV5hBw,HFLsfstZkJeWDgVEA5fmXeea876Ad9f1VxrbXk386bBY,Consensus 🤝,0.672601506221349,0.343483955468238,1369.41666666667,699.333333333333,2036,0.303828832700477,0.38544915071754,true,0.0137513752524195,0.0603934660174217,true
2x3pmdwex3s71i8c4VvnHCnYTwXtqPU1LgdX5BLDtN9L,ADmLWUm2eQ3KFijFbqa4bVfiLVmW5iqjStE5b8Wbti1y,Visor,0.686133879781421,0.341256830601093,837.083333333333,416.333333333333,1220,0.290678578903181,0.395725904346086,true,0.00694534445799519,0.0671994968118461,true
BJu6CLyEP2M5Fvj88DF7ZcJYhs9qb2FYBBrVKwrFYoQk,HAK7iPgQTFwqEzPfVrRDbG5epFdk1dsA9qQexytsDoes,StakeShip 🛳  Additional rewards,0.630636213408876,0.336402266288952,1780.91666666667,950,2824,0.302764619912645,0.371784337769104,true,0.0172706258810145,0.0568742153888268,true
Bs1AYgU6v6MiKivhpNpHnU9VePJAfdeC1yC3FuRaBWNa,FPjq7vB2V3TiseJJSPsp47UWSfT4AwvKjiU7GEro7bX9,Aspis 🛡 +MEV,0.656422651933702,0.336239640883978,1901,973.75,2896,0.303015008741614,0.371167245119195,true,0.0175183300762356,0.0566265111936056,true
CyUEJ2KvRCDZqPM5PZ7RVznyjsto8zKc5or6CJZJDPda,AjdEzodq5LpRA63AtQaiHyTLDfjTkr6csrtYWiSDPjaK,IMPULSE⚡️,0.593628167641326,0.332906920077973,812.083333333334,455.416666666667,1368,0.285402683335385,0.384068407310157,true,0.00862166193806509,0.0655231793317762,true
ANTmwMfoBzEk31Rw8e11nLRvDgzWEVEMGUUy1v9fdRxV,DrCcHpAWj8a4JU99QKtwfCynzdhgQeuieAY9WadZD5Ry,FireDog 🔥 ZERO FEES,0.662037037037037,0.324959150326797,810.333333333333,397.75,1224,0.275288312310777,0.378906420043922,true,0.00699461199084148,0.0671502292789998,true
if4NttF3dYuRApxa25zmGmRobehEo3kU9jyeuZRHsxL,2Q9mEXrNcJknsDyBjsAieH8XrL4MBePEaLJwmHr3NK3L,BonsAI 🌳,0.559490740740741,0.316203703703704,402.833333333333,227.666666666667,720,0.253157446505824,0.386818812623986,true,-0.00214424385622053,0.0762890851260618,true
8a5oKmUfwQZwZHV2NFYmiRLNepySV6cNTjEoW7pEFZBN,2uXoWb4tuNZ72wAdQDfGn42PzRQ2kZD2x6ZDt3urwPrv,Race2Space,0.535369138149556,0.302756653992395,1126.41666666667,637,2104,0.26530928506856,0.343021787696636,true,0.0141313314544361,0.0600135098154051,true
5X39mKkK1QJBnFmzryeRbVmSKQDHR8bvUMm22gQS95YL,HsCdVYYZAVSKhykpJdrmNKN15ePR8WugGXMbkJb8xdsU,LIONODER 🦁,0.552225056689342,0.302437641723356,649.416666666667,355.666666666667,1176,0.253109505179937,0.35678693690958,true,0.00638691810362082,0.0677579231662205,true
5rtCpCsHQUdh48zfWSo3VHmWoPoJ33PqA8BJtxojyz5Q,2qD6yvLwy3ckWxsS1iQwrkCjLgcvH1u9PLu5m9KRRn5x,Heliuz 0% fee + Mev,0.462823275862069,0.286099137931035,214.75,132.75,464,0.212245577626983,0.373467648192102,true,-0.0117790801790285,0.0859239214488698,true
RUSHpmG4o1ydgySKRexRws7WMmu8nH5BaQgEAmwo2hK,2Gife8andd4BkEbT5CncpriPxmQYqbspDh8cXkN6RUSH,RushChain,0.439512882447665,0.27992485238862,1091.75,695.333333333333,2484,0.24629178565662,0.316223809810095,true,0.0159588782138031,0.0581859630560381,true
caraQ1NEwdXDjP8RE28XhiPmzCGNqF5zLNqvjoeDNQ3,CaraHZBReeNNYAJ326DFsvy41M2p1KWTEoBAwBL6bmWZ,CARASOL,0.44009067357513,0.278929188255613,679.5,430.666666666667,1544,0.236834812411422,0.325316046856913,true,0.0102922553621653,0.063852585907676,true
Goo7uPA1ASVX2Ws4JW1eAjQxBcTtjMdpAHBtPBzi8yN6,H7JJ6aE73ufbUuDCZSQMxguQsj28XHe4VQyMk2hsVGoo,GOOSE,0.430156573498965,0.275329968944099,1108.08333333333,709.25,2576,0.242476905186826,0.310807953282741,true,0.0163393335634709,0.0578055077063704,true
STA5dMZHibCkLtWGXmEADpdkR8VRkGTJf1gTSMyJ1YU,D8aGMETy3q6ymADJs7YS81QY2qTQmptVox3iCfGDgSTA,SolTA,0.346619261477046,0.230663672654691,926.166666666667,616.333333333333,2672,0.200527625535638,0.263834075700564,true,0.0167151910754196,0.0574296501944216,true
