leader,vote,name,Sc,Sc_p,R-Sc,R-Sc_p,slots,Sc_p_lb,Sc_p_ub,Sc_p_flag,Sc_lb,Sc_ub,Sc_flag
4nGV3oRHi9Fkk7HwakFS1ZjVq6U7M2v1p5xLrAbYLQtZ,5okzFSJ474W7xZ75Xztdcvr4Kh61ZQzEW7eZisCdHxzc,"BlackHole 0% fee",0.5626566416040101,0.43389724310776945,299.33333333333337,230.83333333333334,532,0.3532712473696993,0.5181807450456068,true,0.03694598987790518,0.3177191181717809,true
FPwKd8WmeugZLZySCcr5RmqdVnQvJ5zRQRCy6tnkdLQF,7okgo2YWz8fgNLAHSmAFwqPF59GMq9QuTSFSzPkkVcq7,"Tokyo ㊗️ 0%fee+Jito",0.6020833333333334,0.43097222222222226,361.25000000000006,258.58333333333337,600,0.35497007629548616,0.510371509356081,true,0.04514038271689086,0.3095247253327952,true
2EutAcbv7T8it6PfPQ7HbK2KFMnMC6anwkX6C3RifE5M,3JFt7NBHuz7bR1wbWVKgGLkZx9QPwnkuW2sx2nREgbbr,"Sugar Free 0% 🍹",0.6229575163398693,0.42749183006535946,254.16666666666666,174.41666666666666,408,0.3364811032208326,0.5236901701859932,true,0.017025999559422106,0.3376391084902639,true
HJJH3tokNTy4FwEg2vABnbyUt3s51kyfL3pH26zTZqhp,26MXTErkUfxTGJ78WKjNtVSTXHBrZEPYFY3oeuGeewz5,"",0.5894607843137255,0.42401960784313725,40.083333333333336,28.833333333333332,68,0.22652945346675749,0.6491772719180343,true,-0.21533670683911835,0.5700018148888044,true
4o2TxN5RNxjiLvEbK56ZyaZ1bg3ZTgaTLpPRqi8vEkRS,8guXF5HQVU4g71ZCnn6aEJxQyb59NaEc4XCGjF5arsiH,"BLOCKPRIME 💠",0.7143429487179488,0.42367788461538464,297.1666666666667,176.25,416,0.33372984262176475,0.5189850869349166,true,0.018574891482131567,0.33609021656755445,true
71M936kzQRe7eWrABba6yKqPsmTMVhijQqDNQP9qM9pP,DM8eVQwKYpFUq4MAC1XEeZMjV4T34LfvGkK9vca55GaY,"SpaceCat.ws 🚀 0% + MEV",0.8468528368794328,0.4215425531914893,318.41666666666674,158.49999999999997,376,0.32738918885473955,0.5217684094693061,true,0.010343717499423616,0.34432139055026245,true
1znL3zFHi3znoaz6T6rnnEnRj8Ar3fohDq7ZNk37sUL,A1taSaBJrLMrqfWsPESYDujnZv5yD7bF35LjXoyNXhzN,"AltaBlock",0.6991003787878789,0.42092803030303033,246.08333333333337,148.16666666666669,352,0.3238879642511331,0.5244882240346206,true,0.004744779147475259,0.3499203289022108,true
ANTmwMfoBzEk31Rw8e11nLRvDgzWEVEMGUUy1v9fdRxV,DrCcHpAWj8a4JU99QKtwfCynzdhgQeuieAY9WadZD5Ry,"FireDog 🔥 ZERO FEES",0.7554644808743171,0.42008196721311475,184.33333333333337,102.5,244,0.30536952479365675,0.5441307612970501,true,-0.02996131053235937,0.3846264185820454,true
Bnqie7FYWudbSuBjyRHzoKQrz7eGFxmY9wFAMQKKQjEe,6xwWwNVXJLGhgPfBpew7UDcSjQr73McXSRK2EhdhcL1u,"Paradigm 🧿",0.6878132832080202,0.41463032581453635,365.91666666666674,220.58333333333334,532,0.33501478625032544,0.4989694219637547,true,0.03694598987790518,0.3177191181717809,true
4ZUdaCPz4t1gJK6bFN2YdG6BDfxZ3ApvGMiQUmKPPtny,7XTz9RDt9gbckonUUYvzQ8q3Pfdo36oiQsreXsHhNFzj,"Spear | best rewards!",0.7165354330708662,0.4128937007874016,364.00000000000006,209.75000000000003,508,0.33162601627804494,0.4992021418003186,true,0.03366804097730511,0.32099706707238096,true
